"","country_long","year","foreign","native","total"
"57","Denmark","2011",517230,5042684,5560628
"58","Denmark","2012",531540,5048302,5580516
"59","Denmark","2013",548411,5053578,5602628
"60","Denmark","2014",569596,5056810,5627235
"61","Denmark","2015",595876,5062994,5659715
"62","Denmark","2016",636666,5069632,5707251
"63","Denmark","2017",668090,5079788,5748769
"64","Denmark","2018",690549,5089851,5781190
"65","Denmark","2019",707880,5097499,5806081
"66","Denmark","2020",715936,5106209,5822763
"67","Denmark","2021",721135,5118385,5840045
"68","Denmark","2022",745851,5127118,5873420
"69","Germany","2006",NA,NA,82437995
"70","Germany","2007",NA,NA,82314906
"71","Germany","2008",NA,NA,82217837
"72","Germany","2009",9548865,71438875,82002356
"73","Germany","2010",9812263,71265309,81802257
"74","Germany","2011",8935603,70555000,80222065
"75","Germany","2012",9117874,70491080,80327900
"76","Germany","2013",9456225,70384743,80523746
"77","Germany","2014",9807877,70265851,80767463
"78","Germany","2015",10220418,70302772,81197537
"79","Germany","2016",10908255,70619967,82175684
"80","Germany","2017",12105436,69803578,82521653
"81","Germany","2018",13745843,68363304,82792351
"82","Germany","2019",14879635,68139578,83019213
"83","Germany","2020",15040708,68126003,83166711
"84","Germany","2021",15162728,67952619,83155031
"85","Germany","2022",15287650,67949474,83237124
"86","Estonia","2006",NA,NA,1344684
"87","Estonia","2007",NA,NA,1342409
"88","Estonia","2008",NA,NA,1340935
"89","Estonia","2009",220315,1115488,1340415
"90","Estonia","2010",217890,1119156,1340127
"91","Estonia","2011",212685,1106108,1320976
"92","Estonia","2012",210842,1105625,1318005
"93","Estonia","2013",198411,1121127,1320174
"94","Estonia","2014",196558,1118894,1315819
"95","Estonia","2015",194664,1120140,1314870
"96","Estonia","2016",193813,1122085,1315944
"97","Estonia","2017",192535,1123074,1315635
"98","Estonia","2018",196207,1122844,1319133
"99","Estonia","2019",197896,1126756,1324820
"100","Estonia","2020",198306,1129934,1328976
"101","Estonia","2021",198243,1130616,1330068
"102","Estonia","2022",200583,1130543,1331796
"103","Ireland","2006",NA,NA,NA
"104","Ireland","2007",664238,3675880,4340118
"105","Ireland","2008",719936,3737829,4457765
"106","Ireland","2009",735461,3785861,4521322
"107","Ireland","2010",730542,3818886,4549428
"108","Ireland","2011",737219,3833662,4570881
"109","Ireland","2012",772826,3815887,4589287
"110","Ireland","2013",760960,3847465,4609779
"111","Ireland","2014",754664,3881344,4637852
"112","Ireland","2015",759256,3915802,4677627
"113","Ireland","2016",773649,3949280,4726286
"114","Ireland","2017",796410,3987103,4784383
"115","Ireland","2018",811245,4017489,4830392
"116","Ireland","2019",844412,4056995,4904240
"117","Ireland","2020",875559,4085064,4964440
"118","Ireland","2021",883319,4118714,5006324
"119","Ireland","2022",904801,4150115,5060004
"120","Greece","2006",NA,NA,11125179
"121","Greece","2007",NA,NA,11171740
"122","Greece","2008",NA,NA,11213785
"123","Greece","2009",1304670,9790075,11094745
"124","Greece","2010",1321149,9798140,11119289
"125","Greece","2011",1325255,9798137,11123392
"126","Greece","2012",1312519,9773887,11086406
"127","Greece","2013",1279516,9724099,11003615
"128","Greece","2014",1265165,9661642,10926807
"129","Greece","2015",1242924,9615094,10858018
"130","Greece","2016",1220395,9563353,10783748
"131","Greece","2017",1250863,9517330,10768193
"132","Greece","2018",1277861,9463304,10741165
"133","Greece","2019",1307471,9417128,10724599
"134","Greece","2020",1348174,9370391,10718565
"135","Greece","2021",1361720,9316912,10678632
"136","Greece","2022",1198086,9261696,10459782
"137","Spain","2006",4637971,39371996,44009967
"138","Spain","2007",5200060,39584598,44784658
"139","Spain","2008",5878921,39790017,45668938
"140","Spain","2009",6225516,40013757,46239273
"141","Spain","2010",6280062,40206554,46486616
"142","Spain","2011",6282205,40384968,46667173
"143","Spain","2012",6294954,40523265,46818219
"144","Spain","2013",6174740,40553150,46727890
"145","Spain","2014",5958308,40553891,46512199
"146","Spain","2015",5891208,40558357,46449565
"147","Spain","2016",5918341,40521758,46440099
"148","Spain","2017",6024698,40503326,46528024
"149","Spain","2018",6198833,40459614,46658447
"150","Spain","2019",6538961,40398099,46937060
"151","Spain","2020",6996825,40335789,47332614
"152","Spain","2021",7214878,40183817,47398695
"153","Spain","2022",7365311,40067582,47432893
"154","France","2006",NA,NA,62998773
"155","France","2007",7013242,56631823,63645065
"156","France","2008",7076824,56930369,64007193
"157","France","2009",7245620,57104606,64350226
"158","France","2010",7309986,57348870,64658856
"159","France","2011",7335966,57642755,64978721
"160","France","2012",7463157,57813826,65276983
"161","France","2013",7543950,58056400,65600350
"162","France","2014",7746520,58419460,66165980
"163","France","2015",7915838,58542315,66458153
"164","France","2016",8028227,58610164,66638391
"165","France","2017",8098872,58710944,66809816
"166","France","2018",8199663,58826561,67026224
"167","France","2019",8428660,58748976,67177636
"168","France","2020",8521829,58798387,67320216
"169","France","2021",8670939,58985743,67656682
"170","France","2022",8651109,59220816,67871925
"171","Croatia","2006",NA,NA,NA
"172","Croatia","2007",NA,NA,NA
"173","Croatia","2008",NA,NA,NA
"174","Croatia","2009",NA,NA,NA
"175","Croatia","2010",NA,NA,NA
"176","Croatia","2011",NA,NA,NA
"177","Croatia","2012",NA,NA,NA
"178","Croatia","2013",574383,3681803,4262140
"179","Croatia","2014",568678,3673086,4246809
"180","Croatia","2015",561093,3659496,4225316
"181","Croatia","2016",547929,3638092,4190669
"182","Croatia","2017",539588,3610031,4154213
"183","Croatia","2018",528982,3572172,4105493
"184","Croatia","2019",527308,3544850,4076246
"185","Croatia","2020",533769,3520487,4058165
"186","Croatia","2021",532315,3500349,4036355
"187","Croatia","2022",472308,3389769,3862305
"188","Italy","2006",NA,NA,58751711
"189","Italy","2007",NA,NA,59131287
"190","Italy","2008",NA,NA,59619290
"191","Italy","2009",5813773,53186813,59000586
"192","Italy","2010",5787893,53402250,59190143
"193","Italy","2011",5759022,53605668,59364690
"194","Italy","2012",5715065,53679142,59394207
"195","Italy","2013",5695883,53989344,59685227
"196","Italy","2014",5737213,55045455,60782668
"197","Italy","2015",5805328,54990284,60795612
"198","Italy","2016",5907452,54758099,60665551
"199","Italy","2017",6020614,54568831,60589445
"200","Italy","2018",6175337,54308636,60483973
"201","Italy","2019",6069000,53747673,59816673
"202","Italy","2020",6161391,53480097,59641488
"203","Italy","2021",6262207,52974006,59236213
"204","Italy","2022",6161003,52869130,59030133
"205","Cyprus","2006",NA,NA,766414
"206","Cyprus","2007",NA,NA,778684
"207","Cyprus","2008",NA,NA,789258
"208","Cyprus","2009",150781,644785,796875
"209","Cyprus","2010",188472,625636,819140
"210","Cyprus","2011",193943,640633,839751
"211","Cyprus","2012",200313,655664,862011
"212","Cyprus","2013",200842,658834,865878
"213","Cyprus","2014",191587,660435,858000
"214","Cyprus","2015",176693,664337,847008
"215","Cyprus","2016",172808,669460,848319
"216","Cyprus","2017",173791,674939,854802
"217","Cyprus","2018",181369,677092,864236
"218","Cyprus","2019",185528,684976,875899
"219","Cyprus","2020",191415,691105,888005
"220","Cyprus","2021",200936,695071,896007
"221","Cyprus","2022",205798,698907,904705
"222","Latvia","2006",NA,NA,2294590
"223","Latvia","2007",NA,NA,2281305
"224","Latvia","2008",335817,1855993,2191810
"225","Latvia","2009",324871,1837963,2162834
"226","Latvia","2010",313786,1806718,2120504
"227","Latvia","2011",302849,1771756,2074605
"228","Latvia","2012",289018,1755795,2044813
"229","Latvia","2013",279227,1744598,2023825
"230","Latvia","2014",271126,1730342,2001468
"231","Latvia","2015",265418,1720678,1986096
"232","Latvia","2016",258889,1710068,1968957
"233","Latvia","2017",251465,1698651,1950116
"234","Latvia","2018",246040,1688339,1934379
"235","Latvia","2019",241754,1678214,1919968
"236","Latvia","2020",236953,1670716,1907675
"237","Latvia","2021",230095,1663123,1893223
"238","Latvia","2022",223631,1652122,1875757
"239","Lithuania","2006",192071,3096662,3289835
"240","Lithuania","2007",184703,3064436,3249983
"241","Lithuania","2008",177836,3034212,3212605
"242","Lithuania","2009",171179,3012335,3183856
"243","Lithuania","2010",160772,2981034,3141976
"244","Lithuania","2011",149544,2903012,3052588
"245","Lithuania","2012",143675,2859966,3003641
"246","Lithuania","2013",140221,2831684,2971905
"247","Lithuania","2014",137417,2806055,2943472
"248","Lithuania","2015",136021,2785241,2921262
"249","Lithuania","2016",129706,2758852,2888558
"250","Lithuania","2017",127351,2720553,2847904
"251","Lithuania","2018",130975,2677926,2808901
"252","Lithuania","2019",138171,2656013,2794184
"253","Lithuania","2020",152578,2641512,2794090
"254","Lithuania","2021",165164,2630516,2795680
"255","Lithuania","2022",168787,2637211,2805998
"256","Luxembourg","2006",NA,NA,469100
"257","Luxembourg","2007",NA,NA,476187
"258","Luxembourg","2008",NA,NA,483799
"259","Luxembourg","2009",159030,330759,493500
"260","Luxembourg","2010",163142,336436,502066
"261","Luxembourg","2011",166319,342984,511840
"262","Luxembourg","2012",216156,307727,524853
"263","Luxembourg","2013",227461,309578,537039
"264","Luxembourg","2014",237848,311832,549680
"265","Luxembourg","2015",248888,314070,562958
"266","Luxembourg","2016",260573,315676,576249
"267","Luxembourg","2017",270010,319922,590667
"268","Luxembourg","2018",280151,321233,602005
"269","Luxembourg","2019",290644,322709,613894
"270","Luxembourg","2020",301688,323929,626108
"271","Luxembourg","2021",309164,325114,634730
"272","Luxembourg","2022",318568,326377,645397
"273","Hungary","2006",NA,NA,10076581
"274","Hungary","2007",NA,NA,10066158
"275","Hungary","2008",NA,NA,10045401
"276","Hungary","2009",424031,9606944,10030975
"277","Hungary","2010",436616,9577708,10014324
"278","Hungary","2011",443295,9542427,9985722
"279","Hungary","2012",401769,9529234,9931925
"280","Hungary","2013",423317,9484606,9908798
"281","Hungary","2014",447029,9429708,9877365
"282","Hungary","2015",475508,9379494,9855571
"283","Hungary","2016",503787,9326183,9830485
"284","Hungary","2017",513649,9283434,9797561
"285","Hungary","2018",536182,9241793,9778371
"286","Hungary","2019",564761,9207629,9772756
"287","Hungary","2020",593937,9175256,9769526
"288","Hungary","2021",597440,9133130,9730772
"289","Hungary","2022",612618,9076350,9689010
"290","Malta","2006",NA,NA,404999
"291","Malta","2007",NA,NA,405616
"292","Malta","2008",NA,NA,407832
"293","Malta","2009",30474,380452,410926
"294","Malta","2010",33008,381019,414027
"295","Malta","2011",33591,381398,414989
"296","Malta","2012",35121,382425,417546
"297","Malta","2013",38815,383694,422509
"298","Malta","2014",44149,385275,429424
"299","Malta","2015",52642,387049,439691
"300","Malta","2016",61632,388783,450415
"301","Malta","2017",69576,390721,460297
"302","Malta","2018",83396,392305,475701
"303","Malta","2019",99555,394004,493559
"304","Malta","2020",118927,395637,514564
"305","Malta","2021",119550,396550,516100
"306","Malta","2022",122930,398041,520971
"307","Netherlands","2006",NA,NA,16334210
"308","Netherlands","2007",NA,NA,16357992
"309","Netherlands","2008",NA,NA,16405399
"310","Netherlands","2009",1793744,14692043,16485787
"311","Netherlands","2010",1832510,14742479,16574989
"312","Netherlands","2011",1868655,14787144,16655799
"313","Netherlands","2012",1906295,14824053,16730348
"314","Netherlands","2013",1927728,14851847,16779575
"315","Netherlands","2014",1953436,14875853,16829289
"316","Netherlands","2015",1996318,14904407,16900726
"317","Netherlands","2016",2056520,14922597,16979120
"318","Netherlands","2017",2137234,14944271,17081507
"319","Netherlands","2018",2215849,14965233,17181084
"320","Netherlands","2019",2298705,14983454,17282163
"321","Netherlands","2020",2399804,15007777,17407585
"322","Netherlands","2021",2451157,15024254,17475415
"323","Netherlands","2022",2550837,15039835,17590672
"324","Austria","2006",NA,NA,8254298
"325","Austria","2007",NA,NA,8282984
"326","Austria","2008",1234879,7072311,8307989
"327","Austria","2009",1259626,7074726,8335003
"328","Austria","2010",1274901,7076156,8351643
"329","Austria","2011",1294224,7080458,8375164
"330","Austria","2012",1322656,7085038,8408121
"331","Austria","2013",1364003,7087089,8451860
"332","Austria","2014",1414215,7093162,8507786
"333","Austria","2015",1483123,7100331,8584926
"334","Austria","2016",1588209,7105748,8700471
"335","Austria","2017",1649008,7116599,8772865
"336","Austria","2018",1690619,7125144,8822267
"337","Austria","2019",1722833,7130221,8858775
"338","Austria","2020",1760595,7135753,8901064
"339","Austria","2021",1792053,7135091,8932664
"340","Austria","2022",1834342,7136503,8978929
"341","Poland","2006",NA,NA,38157055
"342","Poland","2007",NA,NA,38125479
"343","Poland","2008",NA,NA,38115641
"344","Poland","2009",453248,37337408,38135876
"345","Poland","2010",642417,37364959,38022869
"346","Poland","2011",637408,37407936,38062718
"347","Poland","2012",630478,37416014,38063792
"348","Poland","2013",625363,37430965,38062535
"349","Poland","2014",620308,37391358,38017856
"350","Poland","2015",611855,37387874,38005614
"351","Poland","2016",626396,37333971,37967209
"352","Poland","2017",651845,37314666,37972964
"353","Poland","2018",695850,37274658,37976687
"354","Poland","2019",760849,37211963,37972812
"355","Poland","2020",849320,37108818,37958138
"356","Poland","2021",901790,36938211,37840001
"357","Poland","2022",951051,36685202,37654247
"358","Portugal","2006",NA,NA,10569592
"359","Portugal","2007",NA,NA,10599095
"360","Portugal","2008",NA,NA,10617575
"361","Portugal","2009",853328,9708935,10563014
"362","Portugal","2010",762825,9810620,10573479
"363","Portugal","2011",755484,9817078,10572721
"364","Portugal","2012",851496,9690762,10542398
"365","Portugal","2013",881440,9605745,10487289
"366","Portugal","2014",859065,9567640,10427301
"367","Portugal","2015",864814,9509428,10374822
"368","Portugal","2016",872501,9468403,10341330
"369","Portugal","2017",876300,9432331,10309573
"370","Portugal","2018",909553,9380785,10291027
"371","Portugal","2019",959228,9316219,10276617
"372","Portugal","2020",1094557,9200467,10295909
"373","Portugal","2021",1181027,9117225,10298252
"374","Portugal","2022",1198793,9152834,10352042
"375","Romania","2006",NA,NA,NA
"376","Romania","2007",NA,NA,NA
"377","Romania","2008",NA,NA,NA
"378","Romania","2009",NA,NA,NA
"379","Romania","2010",NA,NA,NA
"380","Romania","2011",NA,NA,NA
"381","Romania","2012",NA,NA,NA
"382","Romania","2013",182939,19826852,20020074
"383","Romania","2014",211210,19726031,19947311
"384","Romania","2015",281048,19580034,19870647
"385","Romania","2016",347344,19400311,19760585
"386","Romania","2017",419238,19212609,19643949
"387","Romania","2018",510526,19014180,19533481
"388","Romania","2019",611627,18792958,19414458
"389","Romania","2020",723913,18596424,19328838
"390","Romania","2021",688697,18502677,19201662
"391","Romania","2022",316107,18709580,19042455
"392","Slovenia","2006",NA,NA,2003358
"393","Slovenia","2007",NA,NA,2010377
"394","Slovenia","2008",NA,NA,2025866
"395","Slovenia","2009",243404,1788903,2032362
"396","Slovenia","2010",253786,1792999,2046976
"397","Slovenia","2011",228588,1821601,2050189
"398","Slovenia","2012",230109,1825387,2055496
"399","Slovenia","2013",232703,1826118,2058821
"400","Slovenia","2014",235310,1825775,2061085
"401","Slovenia","2015",237616,1825258,2062874
"402","Slovenia","2016",241203,1822985,2064188
"403","Slovenia","2017",245369,1820526,2065895
"404","Slovenia","2018",250226,1816654,2066880
"405","Slovenia","2019",265072,1815836,2080908
"406","Slovenia","2020",281621,1814240,2095861
"407","Slovenia","2021",292824,1816153,2108977
"408","Slovenia","2022",294533,1812647,2107180
"409","Slovakia","2006",NA,NA,5389180
"410","Slovakia","2007",NA,NA,5393637
"411","Slovakia","2008",NA,NA,5400998
"412","Slovakia","2009",NA,NA,NA
"413","Slovakia","2010",64422,5359031,5424925
"414","Slovakia","2011",68135,5365666,5435273
"415","Slovakia","2012",156883,5247439,5404322
"416","Slovakia","2013",158164,5252658,5410836
"417","Slovakia","2014",174908,5241041,5415949
"418","Slovakia","2015",177624,5243725,5421349
"419","Slovakia","2016",181642,5244610,5426252
"420","Slovakia","2017",186217,5249126,5435343
"421","Slovakia","2018",190308,5252812,5443120
"422","Slovakia","2019",194389,5256032,5450421
"423","Slovakia","2020",198429,5259444,5457873
"424","Slovakia","2021",201941,5257840,5459781
"425","Slovakia","2022",213171,5207394,5434712
"426","Finland","2006",NA,NA,5255580
"427","Finland","2007",NA,NA,5276955
"428","Finland","2008",NA,NA,5300484
"429","Finland","2009",214118,5107688,5326314
"430","Finland","2010",228481,5118244,5351427
"431","Finland","2011",243217,5127141,5375276
"432","Finland","2012",260856,5135119,5401267
"433","Finland","2013",279743,5141203,5426674
"434","Finland","2014",297812,5146991,5451270
"435","Finland","2015",314856,5149776,5471753
"436","Finland","2016",329219,5150146,5487308
"437","Finland","2017",348986,5145756,5503297
"438","Finland","2018",363717,5140328,5513130
"439","Finland","2019",377360,5130704,5517919
"440","Finland","2020",393555,5121113,5525292
"441","Finland","2021",408676,5113027,5533793
"442","Finland","2022",428409,5105951,5548241
"443","Sweden","2006",NA,NA,9047752
"444","Sweden","2007",NA,NA,9113257
"445","Sweden","2008",NA,NA,9182927
"446","Sweden","2009",1280908,7974766,9256347
"447","Sweden","2010",1337214,8002717,9340682
"448","Sweden","2011",1384111,8030641,9415570
"449","Sweden","2012",1426402,8055559,9482855
"450","Sweden","2013",1472353,8082637,9555893
"451","Sweden","2014",1532563,8111371,9644864
"452","Sweden","2015",1602522,8143804,9747355
"453","Sweden","2016",1675116,8174753,9851017
"454","Sweden","2017",1783179,8210656,9995153
"455","Sweden","2018",1875637,8243192,10120242
"456","Sweden","2019",1954065,8274616,10230185
"457","Sweden","2020",2018191,8307856,10327589
"458","Sweden","2021",2045234,8332564,10379295
"459","Sweden","2022",2089008,8361823,10452326
"460","Iceland","2006",NA,NA,299891
"461","Iceland","2007",NA,NA,NA
"462","Iceland","2008",35885,279564,315459
"463","Iceland","2009",37552,281806,319368
"464","Iceland","2010",35091,282509,317630
"465","Iceland","2011",34650,283743,318452
"466","Iceland","2012",34550,284904,319575
"467","Iceland","2013",35319,286420,321857
"468","Iceland","2014",37116,288441,325671
"469","Iceland","2015",39072,289877,329100
"470","Iceland","2016",41853,290507,332529
"471","Iceland","2017",46080,291833,338349
"472","Iceland","2018",53540,293857,348450
"473","Iceland","2019",59999,295588,356991
"474","Iceland","2020",65205,297365,364134
"475","Iceland","2021",67438,299852,368792
"476","Iceland","2022",71767,302935,376248
"477","Liechtenstein","2006",NA,NA,NA
"478","Liechtenstein","2007",NA,NA,NA
"479","Liechtenstein","2008",NA,NA,NA
"480","Liechtenstein","2009",22167,13309,35589
"481","Liechtenstein","2010",22342,13420,35894
"482","Liechtenstein","2011",22500,13469,36149
"483","Liechtenstein","2012",22794,13543,36475
"484","Liechtenstein","2013",23109,13590,36838
"485","Liechtenstein","2014",23424,13609,37129
"486","Liechtenstein","2015",23799,13480,37366
"487","Liechtenstein","2016",24241,13308,37622
"488","Liechtenstein","2017",24634,13110,37810
"489","Liechtenstein","2018",25098,12953,38114
"490","Liechtenstein","2019",25561,12761,38378
"491","Liechtenstein","2020",26081,12610,38747
"492","Liechtenstein","2021",26560,12446,39055
"493","Liechtenstein","2022",26971,12287,39308
"494","Norway","2006",NA,NA,4640219
"495","Norway","2007",NA,NA,4681134
"496","Norway","2008",NA,NA,4737171
"497","Norway","2009",488753,4310499,4799252
"498","Norway","2010",524601,4329911,4854512
"499","Norway","2011",NA,NA,4920305
"500","Norway","2012",NA,NA,4985870
"501","Norway","2013",NA,NA,5051275
"502","Norway","2014",704440,4403530,5109056
"503","Norway","2015",NA,NA,5165802
"504","Norway","2016",774043,4436678,5213985
"505","Norway","2017",799797,4458520,5258317
"506","Norway","2018",822360,4473259,5295619
"507","Norway","2019",841580,4486632,5328212
"508","Norway","2020",867778,4499802,5367580
"509","Norway","2021",878153,4513216,5391369
"510","Norway","2022",906843,4518427,5425270
"511","Switzerland","2006",NA,NA,7459128
"512","Switzerland","2007",NA,NA,7508739
"513","Switzerland","2008",NA,NA,7593494
"514","Switzerland","2009",NA,NA,NA
"515","Switzerland","2010",NA,NA,7785806
"516","Switzerland","2011",1940349,5794952,7870134
"517","Switzerland","2012",2033702,5796238,7954662
"518","Switzerland","2013",2102964,5820615,8039060
"519","Switzerland","2014",2183206,5850071,8139631
"520","Switzerland","2015",2258196,5882829,8237666
"521","Switzerland","2016",2324461,5910732,8327126
"522","Switzerland","2017",2391480,5939518,8419550
"523","Switzerland","2018",2432519,5965062,8484130
"524","Switzerland","2019",2469381,5991111,8544527
"525","Switzerland","2020",2509692,6015994,8606033
"526","Switzerland","2021",2553225,6039868,8670300
"527","Switzerland","2022",2598146,6066351,8738791
"528","United Kingdom","2006",NA,NA,60393000
"529","United Kingdom","2007",NA,NA,60852828
"530","United Kingdom","2008",NA,NA,61175586
"531","United Kingdom","2009",6861616,55152018,62042343
"532","United Kingdom","2010",7119664,55365539,62510197
"533","United Kingdom","2011",7342547,55654121,63022532
"534","United Kingdom","2012",7762334,55699931,63495088
"535","United Kingdom","2013",7923428,55952045,63905342
"536","United Kingdom","2014",8039324,56271644,64351203
"537","United Kingdom","2015",8406996,56413157,64853393
"538","United Kingdom","2016",8696511,56628372,65379044
"539","United Kingdom","2017",9298018,56524797,65844142
"540","United Kingdom","2018",9512464,56743659,66273576
"541","United Kingdom","2019",9469015,57153344,66647112
"542","United Kingdom","2020",NA,NA,NA
"543","United Kingdom","2021",NA,NA,NA
"544","United Kingdom","2022",NA,NA,NA
