"","country_long","year","foreign","native","total"
"1","Belgium","2006",NA,NA,10511382
"2","Belgium","2007",NA,NA,10584534
"3","Belgium","2008",NA,NA,10666866
"4","Belgium","2009",1443937,9308764,10753080
"5","Belgium","2010",1503806,9335651,10839905
"6","Belgium","2011",1628793,9371274,11000638
"7","Belgium","2012",1677737,9396045,11075889
"8","Belgium","2013",1722265,9413555,11137974
"9","Belgium","2014",1748748,9430006,11180840
"10","Belgium","2015",1783488,9451194,11237274
"11","Belgium","2016",1845631,9461830,11311117
"12","Belgium","2017",1876726,9470917,11351727
"13","Belgium","2018",1916272,9478126,11398589
"14","Belgium","2019",1968060,9482503,11455519
"15","Belgium","2020",2027763,9490287,11522440
"16","Belgium","2021",2065727,9484082,11554767
"17","Belgium","2022",2119691,9491911,11617623
"18","Bulgaria","2006",NA,NA,NA
"19","Bulgaria","2007",NA,NA,NA
"20","Bulgaria","2008",NA,NA,NA
"21","Bulgaria","2009",NA,NA,NA
"22","Bulgaria","2010",NA,NA,NA
"23","Bulgaria","2011",78621,7290666,7369431
"24","Bulgaria","2012",85076,7241924,7327224
"25","Bulgaria","2013",96113,7188273,7284552
"26","Bulgaria","2014",109239,7135781,7245677
"27","Bulgaria","2015",123803,7077389,7202198
"28","Bulgaria","2016",136421,7015969,7153784
"29","Bulgaria","2017",145390,6954776,7101859
"30","Bulgaria","2018",156505,6891535,7050034
"31","Bulgaria","2019",171993,6825767,7000039
"32","Bulgaria","2020",188729,6760262,6951482
"33","Bulgaria","2021",201940,6711929,6916548
"34","Bulgaria","2022",220843,6615195,6838937
"35","Czechia","2006",NA,NA,10251079
"36","Czechia","2007",NA,NA,10287189
"37","Czechia","2008",NA,NA,10381130
"38","Czechia","2009",384161,10083377,10467542
"39","Czechia","2010",398493,10108316,10506813
"40","Czechia","2011",387971,10144799,10532770
"41","Czechia","2012",390843,10114458,10505445
"42","Czechia","2013",387337,10128663,10516125
"43","Czechia","2014",396156,10116263,10512419
"44","Czechia","2015",416454,10121821,10538275
"45","Czechia","2016",433290,10120553,10553843
"46","Czechia","2017",465056,10113764,10578820
"47","Czechia","2018",467580,10142475,10610055
"48","Czechia","2019",507051,10142749,10649800
"49","Czechia","2020",533639,10160300,10693939
"50","Czechia","2021",409220,10085616,10494836
"51","Czechia","2022",453424,10063283,10516707
"52","Denmark","2006",NA,NA,5427459
"53","Denmark","2007",NA,NA,5447084
"54","Denmark","2008",NA,NA,5475751
"55","Denmark","2009",486003,5024663,5511451
"56","Denmark","2010",500772,5033226,5534738
